loinc_code;loinc_display;loinc_component;loinc_property;loinc_system;loinc_scale;loinc_method;loinc_unitofmeasure;loinc_codesystem;loinc_timing
X099095;Tes fungsi trombosit P2Y12 Base;;;Ser/Plas;Qn;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
5992-3;Platelet aggregation ADP induced in Platelet rich plasma;Platelet aggregation.adenosine diphosphate induced;RelACnc;PRP;Qn;;%;http://loinc.org;Pt
49011-0;Platelet aggregation arachidonate induced [Units/volume] in Platelet rich plasma;Platelet aggregation.arachidonate induced;ACnc;PRP;Qn;;[arb'U];http://loinc.org;Pt
X099096;Immunophenotyping leukemia;;;Bld;;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
49493-0;Leukemia markers [Interpretation] in Blood Narrative;Leukemia markers;Imp;Bld;Nar;;;http://loinc.org;Pt
X099097;Immunophenotyping leukemia akut;;;Bld;;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
45267-2;Acute leukemia markers [Interpretation] in Specimen Narrative;Acute leukemia markers;Imp;XXX;Nar;;;http://loinc.org;Pt
X099098;Immunophenotyping leukemia kronis;;;Bld;;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
45266-4;Chronic leukemia markers [Interpretation] in Specimen Narrative;Chronic leukemia markers;Imp;XXX;Nar;;;http://loinc.org;Pt
47286-0;Differential panel - Bone marrow;Differential panel;-;Bone mar;Qn;;;http://loinc.org;Pt
74232-0;Cellularity assessment in Bone marrow Narrative;Cellularity assessment;Find;Bone mar;Nar;;;http://loinc.org;Pt
X099099;Sel lemak;;;Bone mar;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
74229-6;Megakaryopoiesis assessment in Bone marrow Narrative;Megakaryopoiesis assessment;Find;Bone mar;Nar;;;http://loinc.org;Pt
40688-4;Megakaryocytes [Presence] in Bone marrow by Microscopy;Megakaryocytes;PrThr;Bone mar;Ord;Microscopy;;http://loinc.org;Pt
11110-4;Megakaryocytes/100 cells in Bone marrow by Manual count;Megakaryocytes/100 cells;NFr;Bone mar;Qn;Manual count;%;http://loinc.org;Pt
74229-6;Megakaryopoiesis assessment in Bone marrow Narrative;Megakaryopoiesis assessment;Find;Bone mar;Nar;;;http://loinc.org;Pt
74229-6;Megakaryopoiesis assessment in Bone marrow Narrative;Megakaryopoiesis assessment;Find;Bone mar;Nar;;;http://loinc.org;Pt
74228-8;Myelopoiesis assessment in Bone marrow Narrative;Myelopoiesis assessment;Find;Bone mar;Nar;;;http://loinc.org;Pt
47286-0;Differential panel - Bone marrow;Differential panel;-;Bone mar;Qn;;;http://loinc.org;Pt
11150-0;Blasts/100 cells in Bone marrow;Blasts/100 cells;NFr;Bone mar;Qn;;%;http://loinc.org;Pt
