loinc_code;loinc_display;loinc_component;loinc_property;loinc_system;loinc_scale;loinc_method;loinc_unitofmeasure;loinc_codesystem;loinc_timing
74755-0;Placental growth factor [Mass/volume] in Serum;Placental growth factor;MCnc;Ser;Qn;;pg/mL;http://loinc.org;Pt
74757-6;Soluble fms-like tyrosine kinase-1/placental growth factor [Ratio] in Serum;Soluble fms-like tyrosine kinase-1/placental growth factor;Ratio;Ser;Qn;;%;http://loinc.org;Pt
75628-8;Vascular endothelial growth factor A [Mass/volume] in Serum or Plasma;Vascular endothelial growth factor A;MCnc;Ser/Plas;Qn;;pg/mL;http://loinc.org;Pt
3051-0;Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma;Triiodothyronine.free;MCnc;Ser/Plas;Qn;;pg/mL;http://loinc.org;Pt
83127-1;Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma by Immunoassay;Triiodothyronine.free;MCnc;Ser/Plas;Qn;IA;pg/mL;http://loinc.org;Pt
83127-1;Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma by Immunoassay;Triiodothyronine.free;MCnc;Ser/Plas;Qn;IA;pg/mL;http://loinc.org;Pt
83127-1;Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma by Immunoassay;Triiodothyronine.free;MCnc;Ser/Plas;Qn;IA;pg/mL;http://loinc.org;Pt
3024-7;Thyroxine (T4) free [Mass/volume] in Serum or Plasma;Thyroxine.free;MCnc;Ser/Plas;Qn;;ng/dL;http://loinc.org;Pt
83122-2;Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Immunoassay;Thyroxine.free;MCnc;Ser/Plas;Qn;IA;pg/mL;http://loinc.org;Pt
83122-2;Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Immunoassay;Thyroxine.free;MCnc;Ser/Plas;Qn;IA;pg/mL;http://loinc.org;Pt
83122-2;Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Immunoassay;Thyroxine.free;MCnc;Ser/Plas;Qn;IA;pg/mL;http://loinc.org;Pt
83122-2;Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Immunoassay;Thyroxine.free;MCnc;Ser/Plas;Qn;IA;pg/mL;http://loinc.org;Pt
32215-6;Thyroxine (T4) free index in Serum or Plasma by calculation;Thyroxine free index;MCnc;Ser/Plas;Qn;Calculated;{Index_val};http://loinc.org;Pt
3053-6;Triiodothyronine (T3) [Mass/volume] in Serum or Plasma;Triiodothyronine;MCnc;Ser/Plas;Qn;;ng/dL;http://loinc.org;Pt
83124-8;Triiodothyronine (T3) [Mass/volume] in Serum or Plasma by Immunoassay;Triiodothyronine;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
83124-8;Triiodothyronine (T3) [Mass/volume] in Serum or Plasma by Immunoassay;Triiodothyronine;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
83124-8;Triiodothyronine (T3) [Mass/volume] in Serum or Plasma by Immunoassay;Triiodothyronine;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
83124-8;Triiodothyronine (T3) [Mass/volume] in Serum or Plasma by Immunoassay;Triiodothyronine;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
3026-2;Thyroxine (T4) [Mass/volume] in Serum or Plasma;Thyroxine;MCnc;Ser/Plas;Qn;;ug/dL;http://loinc.org;Pt
83119-8;Thyroxine (T4) [Mass/volume] in Serum or Plasma by Immunoassay;Thyroxine;MCnc;Ser/Plas;Qn;IA;ug/L;http://loinc.org;Pt
83119-8;Thyroxine (T4) [Mass/volume] in Serum or Plasma by Immunoassay;Thyroxine;MCnc;Ser/Plas;Qn;IA;ug/L;http://loinc.org;Pt
83119-8;Thyroxine (T4) [Mass/volume] in Serum or Plasma by Immunoassay;Thyroxine;MCnc;Ser/Plas;Qn;IA;ug/L;http://loinc.org;Pt
83119-8;Thyroxine (T4) [Mass/volume] in Serum or Plasma by Immunoassay;Thyroxine;MCnc;Ser/Plas;Qn;IA;ug/L;http://loinc.org;Pt
11579-0;Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L;Thyrotropin;ACnc;Ser/Plas;Qn;Detection limit <= 0.05 mIU/L;m[IU]/L;http://loinc.org;Pt
11580-8;Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L;Thyrotropin;ACnc;Ser/Plas;Qn;Detection limit <= 0.005 mIU/L;m[IU]/L;http://loinc.org;Pt
3016-3;Thyrotropin [Units/volume] in Serum or Plasma;Thyrotropin;ACnc;Ser/Plas;Qn;;m[IU]/L;http://loinc.org;Pt
3016-3;Thyrotropin [Units/volume] in Serum or Plasma;Thyrotropin;ACnc;Ser/Plas;Qn;;m[IU]/L;http://loinc.org;Pt
74795-6;Total thyroxine binding capacity in Serum or Plasma;Total thyroxine binding capacity;RelRto;Ser/Plas;Qn;;{T-uptake units};http://loinc.org;Pt
3050-2;Triiodothyronine resin uptake (T3RU) in Serum or Plasma;Triiodothyronine resin uptake (T3RU);NFr;Ser/Plas;Qn;;%;http://loinc.org;Pt
3013-0;Thyroglobulin [Mass/volume] in Serum or Plasma;Thyroglobulin;MCnc;Ser/Plas;Qn;;ng/dL;http://loinc.org;Pt
3013-0;Thyroglobulin [Mass/volume] in Serum or Plasma;Thyroglobulin;MCnc;Ser/Plas;Qn;;ng/dL;http://loinc.org;Pt
3013-0;Thyroglobulin [Mass/volume] in Serum or Plasma;Thyroglobulin;MCnc;Ser/Plas;Qn;;ng/dL;http://loinc.org;Pt
77307-7;Lead [Mass/volume] in Venous blood;Lead;MCnc;BldV;Qn;;ug/dL;http://loinc.org;Pt
10912-4;Lead [Mass/volume] in Serum or Plasma;Lead;MCnc;Ser/Plas;Qn;;ug/dL;http://loinc.org;Pt
8245-3;Zinc [Mass/volume] in Blood;Zinc;MCnc;Bld;Qn;;ug/mL;http://loinc.org;Pt
5763-8;Zinc [Mass/volume] in Serum or Plasma;Zinc;MCnc;Ser/Plas;Qn;;ug/mL;http://loinc.org;Pt
5763-8;Zinc [Mass/volume] in Serum or Plasma;Zinc;MCnc;Ser/Plas;Qn;;ug/mL;http://loinc.org;Pt
5763-8;Zinc [Mass/volume] in Serum or Plasma;Zinc;MCnc;Ser/Plas;Qn;;ug/mL;http://loinc.org;Pt
5685-3;Mercury [Mass/volume] in Blood;Mercury;MCnc;Bld;Qn;;ng/mL;http://loinc.org;Pt
5687-9;Mercury [Mass/volume] in Serum or Plasma;Mercury;MCnc;Ser/Plas;Qn;;ug/L;http://loinc.org;Pt
5583-0;Arsenic [Mass/volume] in Blood;Arsenic;MCnc;Bld;Qn;;ug/dL;http://loinc.org;Pt
5585-5;Arsenic [Mass/volume] in Serum or Plasma;Arsenic;MCnc;Ser/Plas;Qn;;ug/L;http://loinc.org;Pt
12556-7;Copper [Mass/volume] in Blood;Copper;MCnc;Bld;Qn;;ug/dL;http://loinc.org;Pt
5631-7;Copper [Mass/volume] in Serum or Plasma;Copper;MCnc;Ser/Plas;Qn;;ug/dL;http://loinc.org;Pt
5609-3;Cadmium [Mass/volume] in Blood;Cadmium;MCnc;Bld;Qn;;ng/mL;http://loinc.org;Pt
21129-2;Cadmium [Mass/volume] in Serum or Plasma;Cadmium;MCnc;Ser/Plas;Qn;;ug/dL;http://loinc.org;Pt
5634-1;Cyanide [Mass/volume] in Blood;Cyanide;MCnc;Bld;Qn;;ug/dL;http://loinc.org;Pt
5635-8;Cyanide [Mass/volume] in Serum or Plasma;Cyanide;MCnc;Ser/Plas;Qn;;mg/L;http://loinc.org;Pt
2494-3;Iodine [Mass/volume] in Serum or Plasma;Iodine;MCnc;Ser/Plas;Qn;;ug/mL;http://loinc.org;Pt
5681-2;Manganese [Mass/volume] in Blood;Manganese;MCnc;Bld;Qn;;ng/mL;http://loinc.org;Pt
5683-8;Manganese [Mass/volume] in Serum or Plasma;Manganese;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
2498-4;Iron [Mass/volume] in Serum or Plasma;Iron;MCnc;Ser/Plas;Qn;;ug/dL;http://loinc.org;Pt
2498-4;Iron [Mass/volume] in Serum or Plasma;Iron;MCnc;Ser/Plas;Qn;;ug/dL;http://loinc.org;Pt
5619-2;Chromium [Mass/volume] in Blood;Chromium;MCnc;Bld;Qn;;ng/mL;http://loinc.org;Pt
5619-2;Chromium [Mass/volume] in Blood;Chromium;MCnc;Bld;Qn;;ng/mL;http://loinc.org;Pt
5619-2;Chromium [Mass/volume] in Blood;Chromium;MCnc;Bld;Qn;;ng/mL;http://loinc.org;Pt
5622-6;Chromium [Mass/volume] in Serum or Plasma;Chromium;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
5622-6;Chromium [Mass/volume] in Serum or Plasma;Chromium;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
5622-6;Chromium [Mass/volume] in Serum or Plasma;Chromium;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
5722-4;Selenium [Mass/volume] in Blood;Selenium;MCnc;Bld;Qn;;ug/L;http://loinc.org;Pt
5724-0;Selenium [Mass/volume] in Serum or Plasma;Selenium;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
5625-9;Cobalt [Mass/volume] in Blood;Cobalt;MCnc;Bld;Qn;;ug/L;http://loinc.org;Pt
5625-9;Cobalt [Mass/volume] in Blood;Cobalt;MCnc;Bld;Qn;;ug/L;http://loinc.org;Pt
5627-5;Cobalt [Mass/volume] in Serum or Plasma;Cobalt;MCnc;Ser/Plas;Qn;;ug/L;http://loinc.org;Pt
5627-5;Cobalt [Mass/volume] in Serum or Plasma;Cobalt;MCnc;Ser/Plas;Qn;;ug/L;http://loinc.org;Pt
5753-9;Vanadium [Mass/volume] in Blood;Vanadium;MCnc;Bld;Qn;;ug/L;http://loinc.org;Pt
5753-9;Vanadium [Mass/volume] in Blood;Vanadium;MCnc;Bld;Qn;;ug/L;http://loinc.org;Pt
5756-2;Vanadium [Mass/volume] in Serum or Plasma;Vanadium;MCnc;Ser/Plas;Qn;;ug/L;http://loinc.org;Pt
5756-2;Vanadium [Mass/volume] in Serum or Plasma;Vanadium;MCnc;Ser/Plas;Qn;;ug/L;http://loinc.org;Pt
5696-0;Molybdenum [Mass/volume] in Blood;Molybdenum;MCnc;Bld;Qn;;ug/L;http://loinc.org;Pt
5698-6;Molybdenum [Mass/volume] in Serum or Plasma;Molybdenum;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
X099206;Status antioksidan total;;;Ser/Plas;Qn;;mmol/L;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
5700-0;Nickel [Mass/volume] in Blood;Nickel;MCnc;Bld;Qn;;ug/mL;http://loinc.org;Pt
5702-6;Nickel [Mass/volume] in Serum or Plasma;Nickel;MCnc;Ser/Plas;Qn;;ug/mL;http://loinc.org;Pt
59753-4;Titanium [Mass/volume] in Blood;Titanium;MCnc;Bld;Qn;;ug/L;http://loinc.org;Pt
8244-6;Titanium [Mass/volume] in Serum or Plasma;Titanium;MCnc;Ser/Plas;Qn;;ug/L;http://loinc.org;Pt
5673-9;Lead [Mass/mass] in Hair;Lead;MCnt;Hair;Qn;;ug/g;http://loinc.org;Pt
5610-1;Cadmium [Mass/mass] in Hair;Cadmium;MCnt;Hair;Qn;;ug/g;http://loinc.org;Pt
5573-1;Aluminum [Mass/mass] in Hair;Aluminum;MCnt;Hair;Qn;;ug/g;http://loinc.org;Pt
13652-3;Zinc [Mass/mass] in Hair;Zinc;MCnt;Hair;Qn;;ug/g;http://loinc.org;Pt
50343-3;Ethanol [Presence] in Saliva (oral fluid) by Screen method;Ethanol;PrThr;Saliva;Ord;Screen;;http://loinc.org;Pt
74673-5;Ethanol [Presence] in Saliva (oral fluid) by Confirmatory method;Ethanol;PrThr;Saliva;Ord;Confirm;;http://loinc.org;Pt
1839-0;Ammonia [Moles/volume] in Blood;Ammonia;SCnc;Bld;Qn;;umol/L;http://loinc.org;Pt
5676-2;Lead [Mass/volume] in Urine;Lead;MCnc;Urine;Qn;;ug/L;http://loinc.org;Pt
5586-3;Arsenic [Mass/volume] in Urine;Arsenic;MCnc;Urine;Qn;;ug/L;http://loinc.org;Pt
9465-6;Benzene [Mass/volume] in Urine;Benzene;MCnc;Urine;Qn;;ug/mL;http://loinc.org;Pt
5750-5;Toluene [Mass/volume] in Serum or Plasma;Toluene;MCnc;Ser/Plas;Qn;;ug/mL;http://loinc.org;Pt
13832-1;Dimethylbenzene/Creatinine [Mass Ratio] in Urine;Dimethylbenzene/Creatinine;MRto;Urine;Qn;;g/g{creat};http://loinc.org;Pt
5611-9;Cadmium [Mass/volume] in Urine;Cadmium;MCnc;Urine;Qn;;ng/mL;http://loinc.org;Pt
2495-0;Iodine [Mass/volume] in Urine;Iodine;MCnc;Urine;Qn;;ug/mL;http://loinc.org;Pt
13440-3;Immunofixation for Urine;Interpretation;Imp;Urine;Nom;Immunofixation;;http://loinc.org;Pt
5764-6;Zinc [Mass/volume] in Urine;Zinc;MCnc;Urine;Qn;;ug/dL;http://loinc.org;Pt
1834-1;Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma;Alpha-1-Fetoprotein;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
1834-1;Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma;Alpha-1-Fetoprotein;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
1834-1;Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma;Alpha-1-Fetoprotein;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
1834-1;Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma;Alpha-1-Fetoprotein;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
19176-7;Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma;Alpha-1-Fetoprotein;ACnc;Ser/Plas;Qn;;[IU]/mL;http://loinc.org;Pt
10334-1;Cancer Ag 125 [Units/volume] in Serum or Plasma;Cancer Ag 125;ACnc;Ser/Plas;Qn;;"[arb'U];[arb'U]/mL";http://loinc.org;Pt
83082-8;Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay;Cancer Ag 125;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
83082-8;Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay;Cancer Ag 125;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
83082-8;Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay;Cancer Ag 125;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
83082-8;Cancer Ag 125 [Units/volume] in Serum or Plasma by Immunoassay;Cancer Ag 125;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
6875-9;Cancer Ag 15-3 [Units/volume] in Serum or Plasma;Cancer Ag 15-3;ACnc;Ser/Plas;Qn;;"[arb'U];[arb'U]/mL";http://loinc.org;Pt
83083-6;Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay;Cancer Ag 15-3;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
83083-6;Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay;Cancer Ag 15-3;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
83083-6;Cancer Ag 15-3 [Units/volume] in Serum or Plasma by Immunoassay;Cancer Ag 15-3;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
24108-3;Cancer Ag 19-9 [Units/volume] in Serum or Plasma;Cancer Ag 19-9;ACnc;Ser/Plas;Qn;;"[arb'U];[arb'U]/mL";http://loinc.org;Pt
83084-4;Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay;Cancer Ag 19-9;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
83084-4;Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay;Cancer Ag 19-9;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
83084-4;Cancer Ag 19-9 [Units/volume] in Serum or Plasma by Immunoassay;Cancer Ag 19-9;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
17843-4;Cancer Ag 72-4 [Units/volume] in Serum or Plasma;Cancer Ag 72-4;ACnc;Ser/Plas;Qn;;[arb'U]/mL;http://loinc.org;Pt
2039-6;Carcinoembryonic Ag [Mass/volume] in Serum or Plasma;Carcinoembryonic Ag;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
83085-1;Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay;Carcinoembryonic Ag;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
83085-1;Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay;Carcinoembryonic Ag;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
83085-1;Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay;Carcinoembryonic Ag;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
83085-1;Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay;Carcinoembryonic Ag;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
25390-6;Cytokeratin 19 [Mass/volume] in Serum or Plasma;Cytokeratin 19;MCnc;Ser/Plas;Qn;;;http://loinc.org;Pt
25390-6;Cytokeratin 19 [Mass/volume] in Serum or Plasma;Cytokeratin 19;MCnc;Ser/Plas;Qn;;;http://loinc.org;Pt
25390-6;Cytokeratin 19 [Mass/volume] in Serum or Plasma;Cytokeratin 19;MCnc;Ser/Plas;Qn;;;http://loinc.org;Pt
53764-7;Prostate specific Ag panel - Serum or Plasma;Prostate specific Ag panel;-;Ser/Plas;-;;;http://loinc.org;Pt
10886-0;Prostate Specific Ag Free [Mass/volume] in Serum or Plasma;Prostate specific Ag.free;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
83113-1;Prostate Specific Ag Free [Mass/volume] in Serum or Plasma by Immunoassay;Prostate specific Ag.free;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
2857-1;Prostate specific Ag [Mass/volume] in Serum or Plasma;Prostate specific Ag;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
83112-3;Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay;Prostate specific Ag;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
83112-3;Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay;Prostate specific Ag;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
83112-3;Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay;Prostate specific Ag;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
83112-3;Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay;Prostate specific Ag;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
12841-3;Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma;Prostate specific Ag.free/Prostate specific Ag.total;MFr;Ser/Plas;Qn;;%;http://loinc.org;Pt
12776-1;Mucin-like carcinoma associated Ag [Units/volume] in Serum or Plasma;Mucin-like carcinoma associated Ag;ACnc;Ser/Plas;Qn;;[arb'U]/mL;http://loinc.org;Pt
55180-4;Human epididymis protein 4 [Moles/volume] in Serum or Plasma;Human epididymis protein 4;SCnc;Ser/Plas;Qn;;pmol/L;http://loinc.org;Pt
55180-4;Human epididymis protein 4 [Moles/volume] in Serum or Plasma;Human epididymis protein 4;SCnc;Ser/Plas;Qn;;pmol/L;http://loinc.org;Pt
69569-2;Risk of ovarian malignancy algorithm score in Serum or Plasma --premenopausal;Risk of ovarian malignancy algorithm score^premenopausal;Score;Ser/Plas;Qn;;{score};http://loinc.org;Pt
69570-0;Risk of ovarian malignancy algorithm score in Serum or Plasma --postmenopausal;Risk of ovarian malignancy algorithm score^postmenopausal;Score;Ser/Plas;Qn;;{score};http://loinc.org;Pt
57371-7;Enolase.neuron specific [Mass/volume] in Serum or Plasma by Immunoassay;Enolase.neuron specific;MCnc;Ser/Plas;Qn;IA;ng/mL;http://loinc.org;Pt
9679-2;Squamous cell carcinoma Ag [Mass/volume] in Serum or Plasma;Squamous cell carcinoma Ag;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
9679-2;Squamous cell carcinoma Ag [Mass/volume] in Serum or Plasma;Squamous cell carcinoma Ag;MCnc;Ser/Plas;Qn;;ng/mL;http://loinc.org;Pt
2912-4;Pyruvate kinase [Enzymatic activity/volume] in Red Blood Cells;Pyruvate kinase;CCnc;RBC;Qn;;U/mL{RBCs};http://loinc.org;Pt
2912-4;Pyruvate kinase [Enzymatic activity/volume] in Red Blood Cells;Pyruvate kinase;CCnc;RBC;Qn;;U/mL{RBCs};http://loinc.org;Pt
X099207;Fetuin A;;;Ser/Plas;Qn;;ng/mL;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099208;Adrenomedullin (ADM);;;Ser/Plas;Qn;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
24356-8;Urinalysis complete panel - Urine;Urinalysis complete panel;-;Urine;-;;;http://loinc.org;Pt
5778-6;Color of Urine;Color;Type;Urine;Nom;;;http://loinc.org;Pt
50553-7;Color of Urine by Auto;Color;Type;Urine;Nom;Auto;;http://loinc.org;Pt
50553-7;Color of Urine by Auto;Color;Type;Urine;Nom;Auto;;http://loinc.org;Pt
32167-9;Clarity of Urine;Clarity;Type;Urine;Nom;;;http://loinc.org;Pt
50552-9;Clarity in Urine by Refractometry automated;Clarity;Type;Urine;Nom;Refractometry.automated;;http://loinc.org;Pt
2349-9;Glucose [Presence] in Urine;Glucose;PrThr;Urine;Ord;;;http://loinc.org;Pt
25428-4;Glucose [Presence] in Urine by Test strip;Glucose;PrThr;Urine;Ord;Test strip;;http://loinc.org;Pt
2349-9;Glucose [Presence] in Urine;Glucose;PrThr;Urine;Ord;;;http://loinc.org;Pt
1978-6;Bilirubin.total [Mass/volume] in Urine;Bilirubin;MCnc;Urine;Qn;;mg/dL;http://loinc.org;Pt
33903-6;Ketones [Presence] in Urine;Ketones;PrThr;Urine;Ord;;;http://loinc.org;Pt
2514-8;Ketones [Presence] in Urine by Test strip;Ketones;PrThr;Urine;Ord;Test strip;;http://loinc.org;Pt
49779-2;Ketones [Mass/volume] in Urine;Ketones;MCnc;Urine;Qn;;mg/dL;http://loinc.org;Pt
5797-6;Ketones [Mass/volume] in Urine by Test strip;Ketones;MCnc;Urine;Qn;Test strip;mg/dL;http://loinc.org;Pt
2965-2;Specific gravity of Urine;Specific gravity;Rden;Urine;Qn;;;http://loinc.org;Pt
50562-8;Specific gravity of Urine by Refractometry automated;Specific gravity;Rden;Urine;Qn;Refractometry.automated;{Spec grav};http://loinc.org;Pt
5811-5;Specific gravity of Urine by Test strip;Specific gravity;Rden;Urine;Qn;Test strip;{Spec grav};http://loinc.org;Pt
2756-5;pH of Urine;pH;LsCnc;Urine;Qn;;[pH];http://loinc.org;Pt
5803-2;pH of Urine by Test strip;pH;LsCnc;Urine;Qn;Test strip;[pH];http://loinc.org;Pt
2887-8;Protein [Presence] in Urine;Protein;PrThr;Urine;Ord;;;http://loinc.org;Pt
57735-3;Protein [Presence] in Urine by Automated test strip;Protein;PrThr;Urine;Ord;Test strip.automated;;http://loinc.org;Pt
2888-6;Protein [Mass/volume] in Urine;Protein;MCnc;Urine;Qn;;g/dL;http://loinc.org;Pt
5804-0;Protein [Mass/volume] in Urine by Test strip;Protein;MCnc;Urine;Qn;Test strip;mg/dL;http://loinc.org;Pt
34927-4;Urobilinogen [Moles/volume] in Urine;Urobilinogen;SCnc;Urine;Qn;;umol/L;http://loinc.org;Pt
3107-0;Urobilinogen [Mass/volume] in Urine;Urobilinogen;MCnc;Urine;Qn;;mg/dL;http://loinc.org;Pt
3107-0;Urobilinogen [Mass/volume] in Urine;Urobilinogen;MCnc;Urine;Qn;;mg/dL;http://loinc.org;Pt
20405-7;Urobilinogen [Mass/volume] in Urine by Test strip;Urobilinogen;MCnc;Urine;Qn;Test strip;mg/dL;http://loinc.org;Pt
3103-9;Urobilin [Presence] in Urine;Urobilin;PrThr;Urine;Ord;;;http://loinc.org;Pt
3103-9;Urobilin [Presence] in Urine;Urobilin;PrThr;Urine;Ord;;;http://loinc.org;Pt
32710-6;Nitrite [Presence] in Urine;Nitrite;PrThr;Urine;Ord;;;http://loinc.org;Pt
5802-4;Nitrite [Presence] in Urine by Test strip;Nitrite;PrThr;Urine;Ord;Test strip;;http://loinc.org;Pt
2657-5;Nitrite [Mass/volume] in Urine;Nitrite;MCnc;Urine;Qn;;mg/mL;http://loinc.org;Pt
725-2;Hemoglobin [Presence] in Urine;Hemoglobin;PrThr;Urine;Ord;;;http://loinc.org;Pt
5794-3;Hemoglobin [Presence] in Urine by Test strip;Hemoglobin;PrThr;Urine;Ord;Test strip;;http://loinc.org;Pt
726-0;Hemoglobin [Mass/volume] in Urine;Hemoglobin;MCnc;Urine;Qn;;mg/dL;http://loinc.org;Pt
60026-2;Leukocyte esterase [Presence] in Urine by Automated test strip;Leukocyte esterase;PrThr;Urine;Ord;Test strip.automated;;http://loinc.org;Pt
5799-2;Leukocyte esterase [Presence] in Urine by Test strip;Leukocyte esterase;PrThr;Urine;Ord;Test strip;;http://loinc.org;Pt
27297-1;Leukocyte esterase [Units/volume] in Urine;Leukocyte esterase;ACnc;Urine;Qn;;;http://loinc.org;Pt
27297-1;Leukocyte esterase [Units/volume] in Urine;Leukocyte esterase;ACnc;Urine;Qn;;;http://loinc.org;Pt
58436-7;Casts [Type] in Urine sediment by Light microscopy;Casts;Type;Urine sed;Nom;Microscopy.light;;http://loinc.org;Pt
87827-2;Casts [Presence] in Urine;Casts;PrThr;Urine;Ord;;;http://loinc.org;Pt
24124-0;Casts [Presence] in Urine sediment by Light microscopy;Casts;PrThr;Urine sed;Ord;Microscopy.light;;http://loinc.org;Pt
9439-1;Casts [#/area] in Urine sediment by Microscopy high power field;Casts;Naric;Urine sed;Qn;Microscopy.light.HPF;/[HPF];http://loinc.org;Pt
51483-6;Casts [#/volume] in Urine by Automated count;Casts;NCnc;Urine;Qn;Automated count;/uL;http://loinc.org;Pt
53320-8;Casts [Presence] in Urine by Automated;Casts;PrThr;Urine;Ord;Automated;;http://loinc.org;Pt
58435-9;Microorganisms panel - Urine sediment;Microorganisms panel;-;Urine sed;-;;;http://loinc.org;Pt
87829-8;Bacteria [Presence] in Urine;Bacteria;PrThr;Urine;Ord;;;http://loinc.org;Pt
50221-1;Bacteria [Presence] in Urine by Automated;Bacteria;PrThr;Urine;Ord;Automated;;http://loinc.org;Pt
25145-4;Bacteria [Presence] in Urine sediment by Light microscopy;Bacteria;PrThr;Urine sed;Ord;Microscopy.light;;http://loinc.org;Pt
51480-2;Bacteria [#/volume] in Urine by Automated count;Bacteria;NCnc;Urine;Qn;Automated count;/uL;http://loinc.org;Pt
20456-0;Fungi.yeastlike [Presence] in Urine sediment by Light microscopy;Fungi.yeastlike;PrThr;Urine sed;Ord;Microscopy.light;;http://loinc.org;Pt
20457-8;Fungi.filamentous [Presence] in Urine sediment by Light microscopy;Fungi.filamentous;PrThr;Urine sed;Ord;Microscopy.light;;http://loinc.org;Pt
87830-6;Epithelial cells [Presence] in Urine;Epithelial cells;PrThr;Urine;Ord;;;http://loinc.org;Pt
